Date/Time,Time,Flow Rate,Filtered Flow Rate,Total
Tue 22 Aug 2017 12:15:13,2:09:03.403,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:15,2:09:04.604,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:16,2:09:05.804,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:17,2:09:07.004,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:18,2:09:08.205,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:20,2:09:09.906,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:21,2:09:11.406,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:23,2:09:12.907,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:24,2:09:14.107,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:26,2:09:15.407,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:27,2:09:16.608,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:28,2:09:17.808,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:29,2:09:19.209,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:32,2:09:21.410,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:33,2:09:23.010,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:34,2:09:24.311,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:36,2:09:25.611,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:37,2:09:26.811,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:38,2:09:28.012,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:40,2:09:29.512,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:42,2:09:31.613,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:43,2:09:33.114,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:44,2:09:34.314,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:46,2:09:35.515,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:47,2:09:36.715,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:48,2:09:38.015,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:50,2:09:39.916,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:52,2:09:41.817,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:53,2:09:43.117,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:54,2:09:44.318,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:56,2:09:45.518,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:57,2:09:46.819,0.000,0.000,0.000
Tue 22 Aug 2017 12:15:58,2:09:48.019,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:00,2:09:49.420,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:01,2:09:50.920,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:03,2:09:52.821,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:04,2:09:54.021,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:05,2:09:55.222,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:07,2:09:56.822,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:08,2:09:58.023,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:10,2:09:59.523,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:12,2:10:01.424,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:13,2:10:03.024,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:14,2:10:04.225,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:16,2:10:05.525,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:17,2:10:06.726,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:18,2:10:07.926,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:20,2:10:09.727,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:22,2:10:11.427,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:23,2:10:13.228,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:25,2:10:14.528,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:26,2:10:15.929,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:28,2:10:17.329,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:29,2:10:18.530,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:30,2:10:20.230,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:32,2:10:21.531,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:33,2:10:22.731,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:34,2:10:23.932,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:35,2:10:25.132,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:37,2:10:26.333,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:38,2:10:27.633,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:40,2:10:29.434,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:43,2:10:32.735,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:44,2:10:34.035,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:46,2:10:35.336,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:47,2:10:36.536,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:48,2:10:37.737,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:50,2:10:39.537,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:52,2:10:41.338,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:53,2:10:42.938,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:54,2:10:44.139,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:56,2:10:45.339,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:57,2:10:46.540,0.000,0.000,0.000
Tue 22 Aug 2017 12:16:58,2:10:47.840,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:00,2:10:49.441,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:01,2:10:51.141,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:03,2:10:52.742,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:04,2:10:53.942,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:05,2:10:55.143,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:07,2:10:56.343,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:08,2:10:57.544,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:09,2:10:58.744,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:11,2:11:00.845,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:13,2:11:02.245,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:14,2:11:03.446,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:15,2:11:04.746,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:16,2:11:05.947,0.000,0.000,0.000
