Report Date:,22/08/2017 4:47:40 PM
Report User Name:,CWI
Report Computer Name:,CWI-PC
Application:,WinSitu.exe
Application Version:,5.6.29.3


Log File Properties
File Name,2017-08-22_2017-08-22_16-47-27-321.wsl
Create Date,22/08/2017 4:47:24 PM

Device Properties
Device,Level TROLL 700
Site,Flume expeiment
Device Name, 
Serial Number,340497
Firmware Version,2.09
Hardware Version,3
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,23

Log Configuration
,Log Name,2017-08-22
,Created By,CWI
,Computer Name,CWI-PC
,Application,WinSitu.exe
,Application Version,5.6.29.3
,Create Date,22/08/2017 11:59:24 AM E. Australia Standard Time
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,Manual Start
,Scheduled Stop Time,No Stop Time
,Type,Fast Linear
 ,Interval,Days: 0 hrs: 00 mins: 00 secs: 01



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,0.178944 (m)
,Head Pressure:,1.75308 (kPa)
,Temperature:,13.692 (C)



Log Notes:
Date and Time,Note
22/08/2017 11:59:29 AM,Used Battery: 23% Used Memory: 1%   User Name: CWI
22/08/2017 12:00:06 PM,Manual Start Command
22/08/2017 4:42:29 PM ,Used Battery: 23% Used Memory: 9%   User Name: CWI
22/08/2017 4:42:30 PM ,Manual Stop Command


Log Data:
Record Count,16944

Sensors,1

 ,1,340497,Pressure/Temp 15 PSIG (11m/35ft)

Time Zone: E. Australia Standard Time

,,Sensor: Pres(G) 35ft                    ,Sensor: Pres(G) 35ft                    ,Sensor: Pres(G) 35ft                    ,
,Elapsed Time,SN#: 340497                             ,SN#: 340497                             ,SN#: 340497                             ,
Date and Time,Seconds     ,Temperature (C)                         ,Depth (m)                               ,Pressure (kPa)                          ,
22/08/2017 12:00:06 PM,       0.000,                                  13.575,                                   0.190,                                   1.857,
22/08/2017 12:00:07 PM,       1.000,                                  13.581,                                   0.188,                                   1.844,
22/08/2017 12:00:08 PM,       2.000,                                  13.588,                                   0.189,                                   1.851,
22/08/2017 12:00:09 PM,       3.000,                                  13.587,                                   0.189,                                   1.856,
22/08/2017 12:00:10 PM,       4.000,                                  13.588,                                   0.189,                                   1.847,
22/08/2017 12:00:11 PM,       5.000,                                  13.588,                                   0.189,                                   1.854,
22/08/2017 12:00:12 PM,       6.000,                                  13.591,                                   0.190,                                   1.857,
22/08/2017 12:00:13 PM,       7.000,                                  13.590,                                   0.190,                                   1.865,
22/08/2017 12:00:14 PM,       8.000,                                  13.590,                                   0.189,                                   1.856,
22/08/2017 12:00:15 PM,       9.000,                                  13.593,                                   0.190,                                   1.865,
22/08/2017 12:00:16 PM,      10.000,                                  13.595,                                   0.190,                                   1.864,
22/08/2017 12:00:17 PM,      11.000,                                  13.594,                                   0.190,                                   1.857,
22/08/2017 12:00:18 PM,      12.000,                                  13.596,                                   0.191,                                   1.874,
22/08/2017 12:00:19 PM,      13.000,                                  13.595,                                   0.191,                                   1.872,
22/08/2017 12:00:20 PM,      14.000,                                  13.596,                                   0.191,                                   1.867,
22/08/2017 12:00:21 PM,      15.000,                                  13.596,                                   0.191,                                   1.874,
22/08/2017 12:00:22 PM,      16.000,                                  13.598,                                   0.192,                                   1.879,
22/08/2017 12:00:23 PM,      17.000,                                  13.599,                                   0.191,                                   1.876,
22/08/2017 12:00:24 PM,      18.000,                                  13.599,                                   0.191,                                   1.868,
22/08/2017 12:00:25 PM,      19.000,                                  13.597,                                   0.198,                                   1.940,
22/08/2017 12:00:26 PM,      20.000,                                  13.600,                                   0.194,                                   1.901,
22/08/2017 12:00:27 PM,      21.000,                                  13.601,                                   0.192,                                   1.881,
22/08/2017 12:00:28 PM,      22.000,                                  13.599,                                   0.192,                                   1.882,
22/08/2017 12:00:29 PM,      23.000,                                  13.604,                                   0.192,                                   1.886,
22/08/2017 12:00:30 PM,      24.000,                                  13.602,                                   0.193,                                   1.893,
22/08/2017 12:00:31 PM,      25.000,                                  13.602,                                   0.193,                                   1.894,
22/08/2017 12:00:32 PM,      26.000,                                  13.602,                                   0.194,                                   1.896,
22/08/2017 12:00:33 PM,      27.000,                                  13.606,                                   0.194,                                   1.901,
22/08/2017 12:00:34 PM,      28.000,                                  13.606,                                   0.193,                                   1.893,
22/08/2017 12:00:35 PM,      29.000,                                  13.606,                                   0.194,                                   1.897,
22/08/2017 12:00:36 PM,      30.000,                                  13.605,                                   0.194,                                   1.899,
22/08/2017 12:00:37 PM,      31.000,                                  13.605,                                   0.194,                                   1.896,
22/08/2017 12:00:38 PM,      32.000,                                  13.607,                                   0.194,                                   1.899,
22/08/2017 12:00:39 PM,      33.000,                                  13.607,                                   0.194,                                   1.902,
22/08/2017 12:00:40 PM,      34.000,                                  13.607,                                   0.195,                                   1.909,
22/08/2017 12:00:41 PM,      35.000,                                  13.607,                                   0.195,                                   1.913,
22/08/2017 12:00:42 PM,      36.000,                                  13.607,                                   0.195,                                   1.907,
22/08/2017 12:00:43 PM,      37.000,                                  13.606,                                   0.194,                                   1.904,
22/08/2017 12:00:44 PM,      38.000,                                  13.606,                                   0.197,                                   1.926,
22/08/2017 12:00:45 PM,      39.000,                                  13.609,                                   0.196,                                   1.916,
22/08/2017 12:00:46 PM,      40.000,                                  13.607,                                   0.195,                                   1.913,
22/08/2017 12:00:47 PM,      41.000,                                  13.606,                                   0.197,                                   1.929,
22/08/2017 12:00:48 PM,      42.000,                                  13.612,                                   0.196,                                   1.920,
22/08/2017 12:00:49 PM,      43.000,                                  13.610,                                   0.195,                                   1.915,
22/08/2017 12:00:50 PM,      44.000,                                  13.611,                                   0.196,                                   1.923,
22/08/2017 12:00:51 PM,      45.000,                                  13.610,                                   0.197,                                   1.926,
22/08/2017 12:00:52 PM,      46.000,                                  13.608,                                   0.197,                                   1.931,
22/08/2017 12:00:53 PM,      47.000,                                  13.611,                                   0.197,                                   1.928,
