time_elapsed,Q
0,3.07666666667e-05
120,4.69263888889e-05
240,5.30833333333e-05
360,5.55208333333e-05
480,5.65861111111e-05
600,5.65861111111e-05
720,5.67305555556e-05
840,5.63152777778e-05
960,5.57555555556e-05
1080,5.51416666667e-05
1200,5.43291666667e-05
1320,5.36069444444e-05
1440,5.34083333333e-05
1560,5.44194444444e-05
1680,6.74375e-05
1800,9.72291666667e-05
1920,0.000121965277778
2040,0.000130758333333
2160,0.000135236111111
2280,0.000136536111111
3120,0.000183480555556
3240,0.0002023125
3360,0.000213886111111
3480,0.000215041666667
4440,0.000251965277778
4800,0.000250520833333
4920,0.000255522222222
5760,0.000305373611111
6840,0.000319258333333
7920,0.000361309722222
8880,0.000367972222222
9960,0.000384456944444
10800,0.000394044444444
11760,0.000413652777778
12840,0.000442018055556
