"TOA5","CR3000_flume","CR3000","5362","CR3000.Std.29","CPU:CR3000_Gabexp.CR3","57416","DataTableInfo"
"TIMESTAMP","RECORD","DataTableName(1)","SkippedRecord","DataRecordSize(1,1)","DataRecordSize(1,2)","SecsPerRecord","DataFillDays(1,1)","DataFillDays(1,2)"
"TS","RN","","","records","records","","days","days"
"","","","","","","","",""
"2017-03-22 14:19:48.98",1,"Table2",0,1857729,0,86400,1857729,0
"2017-03-28 13:09:10.4",1,"Table2",0,1857729,0,86400,1857729,0
"2017-03-29 08:31:44.13",1,"soil",0,43184,0,60,29.98889,0
"2017-03-29 10:13:10.2",1,"Table1",0,464442,0,2,10.75097,0
"2017-03-29 10:13:10.2",2,"Table1",0,464442,0,2,10.75097,0
"2017-03-29 10:55:37.42",23,"Table1",22,309627,0,1,3.583646,0
"2017-03-29 10:55:46.42",27,"Table1",25,309627,0,1,3.583646,0
"2017-03-30 09:12:08.47",159,"Table1",158,309627,0,2,7.167292,0
"2017-03-30 09:17:56.32",1,"Table1",0,232218,0,5,13.43854,0
"2017-03-30 11:09:50.26",1,"Table1",0,66058,0,5,3.822801,0
"2017-03-30 11:09:50.26",2,"Table1",0,66058,0,5,3.822801,0
"2017-03-30 12:05:11.09",1,"Table1",0,66058,0,5,3.822801,0
"2017-03-30 12:05:11.09",2,"Table1",0,66058,0,5,3.822801,0
"2017-03-30 12:05:11.09",3,"Table1",0,66058,0,5,3.822801,0
"2017-03-30 12:05:11.09",4,"Table1",0,66058,0,5,3.822801,0
"2017-03-30 12:05:11.09",5,"Table1",0,66058,0,5,3.822801,0
"2017-03-30 15:23:38.85",7,"Table1",1,66058,0,5,3.822801,0
"2017-03-30 15:23:38.85",8,"Table1",1,66058,0,5,3.822801,0
"2017-03-30 15:23:38.85",9,"Table1",1,66058,0,5,3.822801,0
"2017-03-30 15:23:38.85",10,"Table1",1,66058,0,5,3.822801,0
"2017-03-30 15:23:38.85",11,"Table1",1,66058,0,5,3.822801,0
"2017-03-31 17:25:12.74",1,"Table1",0,66058,0,600,458.7361,0
"2017-03-31 17:25:12.74",2,"Table1",0,66058,0,600,458.7361,0
"2017-08-21 14:32:10.61",1,"Table1",0,66058,0,600,458.7361,0
"2017-08-21 17:35:56.41",1,"Table1",0,66058,0,5,3.822801,0
"2017-08-22 09:12:47.75",1,"Table1",0,66058,0,5,3.822801,0
"2017-08-22 10:53:28.84",1,"Table1",0,61642,0,5,3.567245,0
"2017-08-22 11:47:07.7",1,"Table1",0,61642,0,5,3.567245,0
"2017-08-22 11:47:07.7",2,"Table1",0,61642,0,5,3.567245,0
"2017-08-22 11:47:07.7",3,"Table1",0,61642,0,5,3.567245,0
"2017-08-22 11:47:07.7",4,"Table1",0,61642,0,5,3.567245,0
